IDHM - Índice de Desenvolvimento Humano Municipal
Sigla,Código,Município,2000,2010,
PA,1506559,Santa Luzia do Pará,0.362,0.546,
PA,1506583,Santa Maria das Barreiras,0.408,0.544,
PA,1506609,Santa Maria do Pará,0.463,0.598,
PA,1506708,Santana do Araguaia,0.45,0.602,
PA,1506807,Santarém,0.555,0.691,
PA,1506906,Santarém Novo,0.424,0.587,
PA,1507003,Santo Antônio do Tauá,0.475,0.632,
PA,1507102,São Caetano de Odivelas,0.464,0.585,
PA,1507151,São Domingos do Araguaia,0.454,0.594,
PA,1507201,São Domingos do Capim,0.371,0.532,
PA,1507300,São Félix do Xingu,0.435,0.594,
PA,1507409,São Francisco do Pará,0.476,0.608,
PA,1507458,São Geraldo do Araguaia,0.415,0.595,
PA,1507466,São João da Ponta,0.448,0.583,
PA,1507474,São João de Pirabas,0.415,0.539,
PA,1507508,São João do Araguaia,0.349,0.55,
PA,1507607,São Miguel do Guamá,0.453,0.591,
PA,1507706,São Sebastião da Boa Vista,0.422,0.558,
PA,1507755,Sapucaia,0.469,0.59,
PA,1507805,Senador José Porfírio,0.361,0.514,
PA,1507904,Soure,0.513,0.615,
PA,1507953,Tailândia,0.433,0.588,
PA,1507961,Terra Alta,0.474,0.605,
PA,1507979,Terra Santa,0.49,0.635,
PA,1508001,Tomé-Açu,0.438,0.586,
PA,1508035,Tracuateua,0.357,0.531,
PA,1508050,Trairão,0.395,0.562,
PA,1508084,Tucumã,0.512,0.659,
PA,1508100,Tucuruí,0.543,0.666,
PA,1508126,Ulianópolis,0.42,0.604,
PA,1508159,Uruará,0.45,0.589,
PA,1508209,Vigia,0.487,0.617,
PA,1508308,Viseu,0.353,0.515,
PA,1508357,Vitória do Xingu,0.422,0.596,
PA,1508407,Xinguara,0.519,0.646,
RO,1100015,Alta Floresta D'Oeste,0.483,0.641,
RO,1100023,Ariquemes,0.556,0.702,
RO,1100031,Cabixi,0.488,0.65,
RO,1100049,Cacoal,0.567,0.718,
RO,1100056,Cerejeiras,0.542,0.692,
RO,1100064,Colorado do Oeste,0.545,0.685,
RO,1100072,Corumbiara,0.401,0.613,
